Rank,Partner Id,Partner Name,TOP SE PL State,node_name,state_name,NRV FY-25-26,GM FY-25-26,GM Score,GM Share,PL NRV 25-26,GM%,ABC Mapping,GM% Score,PL%,Total Returns in %,Return Score,Avg Repayment days,Paid within due days,Financing scheme (Y/N),Credit Score,TOTAL SCORE,Cohort
4194,1000029496,HINDUSTAN AGRO SERVICES,umesh.shinde@agrevolution.in,Solapur,Maharashtra,997839,95345,0.05,63.80%,377484,10%,D,0.32,38%,-19%,0.81,83,66%,0,0.37,0.28,Opportunity
4195,1000036388,MAA BHUNESHWARI KRASHI SEWA KENDRA,(blank),Ujjain,Madhya Pradesh,202505,32328,0.02,88.00%,160853,16%,C,0.53,79%,0%,1,153,42%,Yes,0.21,0.28,Opportunity
4196,1000023645,GANRAJ AGRO Agencies,gaurav.joshi@agrevolution.in,Washim,Maharashtra,797315,150375,0.09,47.70%,647768,19%,C,0.63,81%,-3%,0.97,136,13%,0,0.07,0.28,Opportunity
4197,1000041537,AAKASH KRUSHI KENDRA,(blank),Jalgaon,Maharashtra,124758,26779,0.02,90.60%,124758,21%,B,0.72,100%,0%,1,90,18%,0,0.09,0.28,Opportunity
4198,1000029557,RISALIA AGRICULTURE STORE,sunilkr@agrevolution.in,Hisar,Haryana,939703,38941,0.02,85.10%,657746,4%,D,0.14,70%,-13%,0.87,47,54%,0,0.51,0.28,Opportunity
4199,1000032471,S.S.AGRO INDUSTRIES,mahesh.khandagale@agrevolution.in,Solapur,Maharashtra,219710,67069,0.04,74.30%,219710,31%,A,1,100%,-39%,0.61,184,0%,0,-,0.28,Opportunity
4200,1000034955,SEEMANCHAL FERTILIZER CENTRE,akash.hazra@agrevolution.in,Arariya,Bihar,299784,50088,0.03,80.80%,286527,17%,C,0.56,96%,0%,1,73,17%,0,0.18,0.28,Opportunity
4201,1000018007,KUSHWAHA KRISHI KENDRA,ajit.kumar4@agrevolution.in,Hazaribagh,Jharkhand,2347023,209322,0.12,34.90%,646720,9%,D,0.3,28%,-6%,0.94,83,42%,0,0.25,0.28,Opportunity
4202,1000024378,M/s Kisan Keetnask And Beej Bhandar,piyush.kumar1@agrevolution.in,Hardoi,Uttar Pradesh,166525,20633,0.01,93.20%,83949,12%,C,0.41,50%,0%,1,51,16%,0,0.3,0.28,Opportunity
4203,1000032361,Gram Krishi Seva Kendra,nilesh.nirgude@agrevolution.in,Khandwa,Madhya Pradesh,141315,39626,0.02,84.80%,115574,28%,B,0.93,82%,-69%,0.31,187,33%,0,0.16,0.28,Opportunity
4204,1000009280,M/s Dev Pesticide,abhishek.vishwakarma1@agrevolution.in,Faizabad,Uttar Pradesh,183069,23692,0.01,91.90%,168071,13%,C,0.43,92%,0%,1,71,35%,0,0.28,0.28,Opportunity
4205,1000037358,ONE STOP SHOP AGRIJUCTION,vivekk.yadav@agrevolution.in,Varanasi,Uttar Pradesh,198605,30203,0.02,89.00%,133855,15%,C,0.51,67%,0%,1,109,36%,Yes,0.23,0.28,Opportunity
4206,1000008332,Lakshman Dairy,anshu.kumar2@agrevolution.in,Kasganj,Uttar Pradesh,216152,29199,0.02,89.50%,216152,14%,C,0.45,100%,0%,1,73,34%,0,0.26,0.28,Opportunity
4207,1000039532,SHREE GANESH BEEJ BHANDAR,bhagchand.parmar@agrevolution.in,Indore,Madhya Pradesh,"86,240",19858,0.01,93.50%,81211,23%,B,0.77,94%,0%,1,163,12%,0,0.06,0.28,Opportunity
4208,1000037458,SHIVMUDRA KRUSHI UDYOG,bhushan.shitole@agrevolution.in,CHHATRAPATI SAMBHAJINAGAR,Maharashtra,892478,189997,0.11,38.70%,779167,21%,B,0.71,87%,-12%,0.88,113,1%,0,0.01,0.28,Opportunity
4209,1000027663,Yadav beej Bhandar,jitendrakr.singh@agrevolution.in,Ranchi,Jharkhand,2008716,175963,0.1,41.90%,1890840,9%,D,0.29,94%,-8%,0.92,49,11%,0,0.28,0.28,Opportunity
4210,1000038231,M/S Sanjay Beej Bhandar,rohit.singh5@agrevolution.in,Ranchi,Jharkhand,759166,65294,0.04,74.90%,301553,9%,D,0.29,40%,-21%,0.79,44,31%,0,0.41,0.28,Opportunity
4211,1000034771,DAROGAJI TRADERS,dharam.singh2@agrevolution.in,Kasganj,Uttar Pradesh,2513549,335641,0.19,18.80%,2488988,13%,C,0.45,99%,-8%,0.92,99,12%,0,0.06,0.28,Opportunity
4212,1000038026,M/s Johar Krishi Sewa Kendra,rishikesh.jamodkar@agrevolution.in,Khandwa,Madhya Pradesh,963606,162698,0.09,44.80%,492142,17%,C,0.56,51%,0%,1,92,17%,0,0.09,0.28,Opportunity
4213,1000006539,Krishna Chokar Bhandar,tejpratap.kushwaha@agrevolution.in,Barabanki,Uttar Pradesh,1135793,130902,0.07,52.30%,1135793,12%,C,0.38,100%,0%,1,56,8%,0,0.23,0.28,Opportunity
4214,1000033491,WENIM AGRO,kamal.patidar@agrevolution.in,Khargone,Madhya Pradesh,1237213,189561,0.11,38.90%,906597,15%,C,0.51,73%,-14%,0.86,84,22%,0,0.14,0.27,Opportunity
4215,1000030028,SUNIL KRASHAK SEVA KENDRA,prateek.dixit@agrevolution.in,Hardoi,Uttar Pradesh,183272,40925,0.02,84.30%,162030,22%,B,0.74,88%,0%,1,121,11%,0,0.06,0.27,Opportunity
4216,1000025152,LAXMI KRUSHI KENDRA,prashant.sapkal@agrevolution.in,Akola,Maharashtra,377138,40902,0.02,84.30%,171954,11%,C,0.36,46%,-42%,0.58,84,60%,Yes,0.45,0.27,Opportunity
4217,1000019085,M/s Balaji Fertilizers,anujkr.yadav@agrevolution.in,Kheri,Uttar Pradesh,594602,127619,0.07,53.50%,529213,21%,B,0.72,89%,-6%,0.94,90,6%,0,0.03,0.27,Opportunity
4218,1000039116,Lakshmi Beej Bhandar,vivek.kumar15@agrevolution.in,Hazaribagh,Jharkhand,244921,38243,0.02,85.40%,96559,16%,C,0.52,39%,0%,1,137,41%,0,0.21,0.27,Opportunity
4219,1000000192,Sadabhahar Agro Solutions,rohit.singh5@agrevolution.in,Ranchi,Jharkhand,147293,17563,0.01,94.40%,47547,12%,C,0.4,32%,-24%,0.76,60,43%,0,0.38,0.27,Opportunity
4220,1000040293,MEWAT FERTILIZERS,(blank),Alwar,Rajasthan,281043,56280,0.03,78.50%,268188,20%,B,0.67,95%,-14%,0.86,107,28%,0,0.14,0.27,Opportunity
4221,1000026039,KHAN KRISHI KENDRA,sarvoday.gautam@agrevolution.in,Chhindwara,Madhya Pradesh,190985,18127,0.01,94.20%,137607,9%,D,0.32,72%,-15%,0.85,77,46%,Yes,0.41,0.27,Opportunity
4222,1000030835,VARSHA AGRO CENTRE,rahul@agrevolution.in,Hisar,Haryana,1057322,158738,0.09,45.70%,691789,15%,C,0.5,65%,-3%,0.97,96,27%,0,0.14,0.27,Opportunity
4223,1000040344,VISHAL KRISHI KENDRA,yogesh.rathore@agrevolution.in,Khandwa,Madhya Pradesh,"94,363",19772,0.01,93.60%,91185,21%,B,0.7,97%,-4%,0.97,173,23%,0,0.11,0.27,Opportunity
4224,1000040570,M/S KISAN SEWA KENDRA,(blank),Bulandshahr,Uttar Pradesh,218841,27899,0.02,90.10%,133462,13%,C,0.42,61%,0%,1,66,29%,0,0.28,0.27,Opportunity
4225,1000005726,M/s. Devai Krushi Kendra,rajkumar.kothule@agrevolution.in,Amravati,Maharashtra,541282,68704,0.04,73.60%,298942,13%,C,0.42,55%,-4%,0.96,90,52%,0,0.26,0.27,Opportunity
4226,1000030770,A.K.V. Pashuahar Kendra,abhishek.vishwakarma1@agrevolution.in,Faizabad,Uttar Pradesh,749688,85101,0.05,67.30%,749688,11%,C,0.38,100%,0%,1,61,21%,0,0.26,0.27,Opportunity
4227,1000024050,ADHIRATH AGRI FED FARMER PRODUCER COMPANY LIMITED,saurabh.mishra@agrevolution.in,Sitapur,Uttar Pradesh,"82,908",19001,0.01,93.90%,63871,23%,B,0.76,77%,0%,1,109,11%,0,0.06,0.27,Opportunity
4228,1000030354,NEW BHARAT SEEDS CORPORATION,(blank),Hisar,Haryana,304444,73489,0.04,71.70%,257692,24%,B,0.8,85%,-34%,0.66,95,21%,0,0.1,0.27,Opportunity
4229,1000001201,M/S Rathore Trading Co.,chinmaya.patra@agrevolution.in,Bhawanipatna,Orissa,898028,108926,0.06,59.00%,394498,12%,C,0.4,44%,-21%,0.79,61,27%,0,0.3,0.27,Opportunity
4230,1000023284,VRINDAVAN KRUSHI SEVA KENDRA,santosh.wagh@agrevolution.in,Jalna,Maharashtra,1361441,186541,0.11,39.60%,953080,14%,C,0.46,70%,-15%,0.85,76,21%,0,0.18,0.27,Opportunity
4231,1000007475,Rajdev Krishi Kendra,ravi.roy@agrevolution.in,Bihar Sharif,Bihar,466940,74745,0.04,71.20%,352736,16%,C,0.53,76%,0%,1,71,12%,0,0.17,0.27,Opportunity
4232,1000035907,VERMA KHAD BHANDAR,anujkr.yadav@agrevolution.in,Kheri,Uttar Pradesh,261574,39620,0.02,84.80%,245938,15%,C,0.5,94%,0%,1,76,27%,0,0.21,0.27,Opportunity
4233,1000041255,Malhar Krishi Kendra,rishikesh.jamodkar@agrevolution.in,Khandwa,Madhya Pradesh,113123,18775,0.01,93.90%,100766,17%,C,0.55,89%,0%,1,84,33%,0,0.2,0.27,Opportunity
4234,1000041634,M/S SHRI BIHARI BEEJ KEETNASHAK VA KHAD BHANDAR,(blank),Bareilly,Uttar Pradesh,187491,23128,0.01,92.20%,180923,12%,C,0.41,96%,0%,1,75,41%,0,0.29,0.27,Opportunity
4235,1000036514,M/s BASIR HOSSAIN MONDAL,(blank),North 24 Parganas,West Bengal,413011,54857,0.03,79.00%,413011,13%,C,0.44,100%,-2%,0.98,106,50%,0,0.25,0.27,Opportunity
4236,1000037042,SHRI BIRALINGESHWAR KRUSHI KENDRA HULJANTI,mahesh.khandagale@agrevolution.in,Solapur,Maharashtra,758085,147261,0.08,48.50%,666535,19%,C,0.65,88%,-26%,0.74,124,24%,0,0.12,0.27,Opportunity
4237,1000019971,M/s Hariyali Beej Bhandar,anup.kumar@agrevolution.in,Hardoi,Uttar Pradesh,275302,38236,0.02,85.40%,254978,14%,C,0.46,93%,0%,1,86,20%,Yes,0.24,0.27,Opportunity
4238,1000007048,M/s Krishna Krishi Sewa Kendra,(blank),Amroha,Uttar Pradesh,345902,49661,0.03,80.90%,315890,14%,C,0.48,91%,-33%,0.67,100,66%,0,0.33,0.27,Opportunity
4239,1000005456,M/s Shree Aaiji Krishi Sewa Kendra,anand.choyal@agrevolution.in,Khargone,Madhya Pradesh,219614,35124,0.02,86.70%,219614,16%,C,0.53,100%,0%,1,60,6%,0,0.2,0.27,Opportunity
4240,1000033600,SHREE ANJANA TRADERS,(blank),Ratlam,Madhya Pradesh,510292,121304,0.07,55.00%,448851,24%,B,0.79,88%,-38%,0.63,170,16%,Yes,0.08,0.27,Opportunity
4241,1000020047,M/s Karan Beej Bhandar,shivam.rajput@agrevolution.in,Farrukhabad,Uttar Pradesh,148582,30662,0.02,88.80%,131916,21%,B,0.69,89%,0%,1,92,19%,0,0.1,0.27,Opportunity
4242,1000029941,M/s Gopal Krishi Kendra,amit.tripathi@agrevolution.in,Kushinagar,Uttar Pradesh,"83,160",21004,0.01,93.00%,83160,25%,B,0.84,100%,0%,1,216,0%,0,-,0.27,Opportunity
4243,1000015269,M/s.Jay Gajanan Krushi Kendra,rajkumar.kothule@agrevolution.in,Amravati,Maharashtra,293174,73225,0.04,71.90%,279852,25%,B,0.83,95%,-15%,0.85,200,3%,0,0.01,0.27,Opportunity
4244,1000009011,M/s.Prajwal Agro Agencies Shendurjana,dattaram.andhare@agrevolution.in,Washim,Maharashtra,262669,37994,0.02,85.50%,110759,14%,C,0.48,42%,-25%,0.75,111,62%,0,0.31,0.27,Opportunity
4245,1000033827,BALAJI KIRSHI KENDRA,vaibhav.singh1@agrevolution.in,Samastipur,Bihar,207852,49919,0.03,80.80%,197402,24%,B,0.8,95%,0%,1,96,1%,0,0,0.27,Opportunity
4246,1000001976,M/S Ashish Beej Bhandar,(blank),Ghazipur,Uttar Pradesh,3150946,213811,0.12,34.10%,1434185,7%,D,0.23,46%,0%,1,85,23%,Yes,0.26,0.27,Opportunity
4247,1000038067,AYANSH AGRO AGENCY,rishikesh.jamodkar@agrevolution.in,Khandwa,Madhya Pradesh,395957,58810,0.03,77.50%,380665,15%,C,0.5,96%,-15%,0.85,104,50%,0,0.25,0.27,Opportunity
4248,1000001317,Sunil Kushwaha Pashu Aahar,shubham.kumar1@agrevolution.in,Purnea,Bihar,501298,61670,0.04,76.30%,501298,12%,C,0.41,100%,0%,1,52,9%,0,0.26,0.27,Opportunity
4249,1000033857,M/S HARITKRANTI KRUSHI SEVA KENDRA,(blank),Pune,Maharashtra,207619,39454,0.02,84.90%,207619,19%,C,0.63,100%,0%,1,110,16%,Yes,0.12,0.27,Opportunity
4250,1000015272,M/s Kushwaha Beej Farm,(blank),Bettiah,Bihar,419227,61208,0.04,76.50%,258512,15%,C,0.49,62%,-16%,0.84,76,36%,0,0.26,0.27,Opportunity
4251,1000009814,Sonu Traders,gauri.shankar@agrevolution.in,Saharsa,Bihar,138237,34695,0.02,86.80%,133885,25%,B,0.84,97%,-9%,0.91,107,4%,0,0.02,0.27,Opportunity
4252,1000025084,vishwakarma pashu ahar kendra,omprakash.pathak@agrevolution.in,Buxar,Bihar,185984,20357,0.01,93.30%,185984,11%,C,0.36,100%,0%,1,45,13%,0,0.32,0.27,Opportunity
4253,1000004716,M/s Shiv Shakti Seeds Company,arvind.godara@agrevolution.in,Sri Ganganagar,Rajasthan,171991,36659,0.02,86.00%,147953,21%,B,0.71,86%,0%,1,120,15%,0,0.07,0.27,Opportunity
4254,1000001989,M/s Vijay Krishi Sewa Kendra,vishal.rana@agrevolution.in,Khargone,Madhya Pradesh,347303,60146,0.03,77.00%,278235,17%,C,0.58,80%,-27%,0.73,93,47%,0,0.23,0.27,Opportunity
4255,1000019202,M/s.Bhumidhan Krushi Seva Kendra,(blank),Ahmednagar,Maharashtra,444058,36525,0.02,86.10%,296147,8%,D,0.27,67%,-1%,0.99,88,47%,Yes,0.37,0.27,Opportunity
4256,1000031112,RAMESHWAR KRUSHI KENDRA,(blank),Akola,Maharashtra,249374,41637,0.02,83.90%,215478,17%,C,0.56,86%,0%,1,117,34%,0,0.17,0.27,Opportunity
4257,1000008753,M/s Akshainie Agro Sarvice,nilesh.nirgude@agrevolution.in,Khandwa,Madhya Pradesh,153340,33341,0.02,87.50%,118209,22%,B,0.72,77%,-21%,0.79,149,27%,Yes,0.13,0.27,Opportunity
4258,1000002945,M/S Ayush Beej Bhandar,rohit.singh5@agrevolution.in,Ranchi,Jharkhand,352032,27726,0.02,90.20%,176138,8%,D,0.26,50%,-5%,0.95,54,39%,0,0.4,0.27,Opportunity
4259,1000024325,MAHARASHTRA AGRICULTURE CONSULTANCY,ankush.gawai@agrevolution.in,Akola,Maharashtra,1263654,195401,0.11,37.40%,666548,15%,C,0.52,53%,0%,1,97,16%,0,0.08,0.27,Opportunity
4260,1000041900,HARIOM TRADING COMPANY,sukhbir.singh@agrevolution.in,Hisar,Haryana,562877,47234,0.03,81.80%,562877,8%,D,0.28,100%,-3%,0.97,61,40%,0,0.36,0.27,Opportunity
4261,1000037469,JAY JAWAN JAY KISAN KRUSHI SEVA KENDRA,rahul.mali1@agrevolution.in,Solapur,Maharashtra,568648,101300,0.06,61.60%,555848,18%,C,0.59,98%,-8%,0.92,134,25%,Yes,0.13,0.27,Opportunity
4262,1000003856,M/S SOHAN BEEJ BHANDAR,abhishek.kumar6@agrevolution.in,Shahjahanpur,Uttar Pradesh,"98,235",25027,0.01,91.40%,98235,25%,B,0.85,100%,-4%,0.96,151,0%,0,-,0.27,Opportunity
4263,1000039948,DILEEP BEEJ BHANDAR,om.kushwaha@agrevolution.in,Allahabad,Uttar Pradesh,533847,46873,0.03,81.90%,147197,9%,D,0.29,28%,-23%,0.77,60,51%,0,0.42,0.27,Opportunity
4264,1000007190,KRISHI VIKASH KENDRA,devendra.singh@agrevolution.in,Bhagalpur,Bihar,177298,28008,0.02,90.00%,144241,16%,C,0.53,81%,0%,1,69,17%,0,0.2,0.27,Opportunity
4265,1000033176,AADARSH KISAN MARKET,sunil.kumar4@agrevolution.in,Jabalpur,Madhya Pradesh,"78,489",19717,0.01,93.60%,78489,25%,B,0.84,100%,0%,1,252,0%,0,-,0.27,Opportunity
4266,1000007494,NARSINGH KHAD BHANDAR,(blank),Sitamarhi,Bihar,310504,45934,0.03,82.20%,122703,15%,C,0.49,40%,0%,1,111,42%,0,0.21,0.27,Opportunity
4267,1000025984,MITTAL AGRICULTURE STORE,prashant.singh3@agrevolution.in,Hisar,Haryana,162788,20650,0.01,93.20%,150593,13%,C,0.42,93%,-25%,0.75,97,72%,0,0.36,0.27,Opportunity
4268,1000009513,M/s MUKLASUR RAHAMAN,(blank),Malda,West Bengal,1820336,57849,0.03,77.80%,84885,3%,D,0.11,5%,-4%,0.96,36,34%,0,0.47,0.27,Opportunity
4269,1000041469,PARWATI KHAD BEEJ BHANDAR,mohmmad.arman2@agrevolution.in,Ranchi,Jharkhand,794992,47310,0.03,81.80%,99710,6%,D,0.2,13%,-3%,0.97,39,26%,0,0.42,0.27,Opportunity
4270,1000005763,M/S LAXMI TRADERS,rameshkr.mehta@agrevolution.in,Arariya,Bihar,271489,24098,0.01,91.80%,141622,9%,D,0.3,52%,0%,1,70,49%,0,0.36,0.27,Opportunity
4271,1000002571,Gorav Rajput Khad Beej Bhandar,dharam.singh2@agrevolution.in,Kasganj,Uttar Pradesh,137555,39126,0.02,85.00%,137555,28%,B,0.95,100%,-27%,0.73,302,0%,0,-,0.27,Opportunity
4272,1000004701,M/S Kisan Beej Bhandar,pradeep.kumar3@agrevolution.in,Bareilly,Uttar Pradesh,250852,59452,0.03,77.30%,250852,24%,B,0.79,100%,-96%,0.04,52,22%,0,0.32,0.27,Opportunity
4273,1000042184,ASRA KRUSHI SEVA KENDRA,pawan.waghmare@agrevolution.in,Amravati,Maharashtra,"38,071",16301,0.01,94.90%,29767,43%,A,1,78%,-46%,0.54,91,9%,0,0.05,0.27,Opportunity
4274,1000040143,SADGURUKRUPA KRUSHI KENDRA,pavan.mali@agrevolution.in,Jalgaon,Maharashtra,214040,41823,0.02,83.90%,182662,20%,C,0.65,85%,0%,1,105,21%,0,0.11,0.27,Opportunity
4275,1000035513,M/s GANESH SEEDS CENTRE,(blank),Ranchi,Jharkhand,775779,51289,0.03,80.20%,117901,7%,D,0.22,15%,-18%,0.83,58,53%,0,0.44,0.27,Opportunity
4276,1000000351,M/S Pradeep Beej Bhandar,om.kushwaha@agrevolution.in,Allahabad,Uttar Pradesh,552904,70300,0.04,72.90%,432699,13%,C,0.42,78%,-19%,0.81,72,40%,0,0.3,0.27,Opportunity
4277,1000009616,M/s Shree Devnarayan Beej Bhandar,prahlad.choudhary@agrevolution.in,Jaipur,Rajasthan,265241,47551,0.03,81.70%,257878,18%,C,0.6,97%,-17%,0.83,87,35%,0,0.19,0.27,Opportunity
4278,1000033387,MAULI KRUSHI SEVA KENDRA,santosh.wagh@agrevolution.in,Jalna,Maharashtra,136737,34418,0.02,86.90%,101250,25%,B,0.84,74%,-36%,0.64,114,21%,0,0.1,0.27,Opportunity
4279,1000005421,M/s DURGA TRADERS,(blank),Aligarh,Uttar Pradesh,124488,18580,0.01,94.00%,119878,15%,C,0.5,96%,-9%,0.91,96,31%,Yes,0.26,0.27,Opportunity
4280,1000003234,M/S Budharaja Agro Sales,chinmaya.patra@agrevolution.in,Bhawanipatna,Orissa,304501,51427,0.03,80.20%,257110,17%,C,0.56,84%,-2%,0.98,159,32%,0,0.16,0.27,Opportunity
4281,1000007720,M/s Pramod Seeds Merchants Evam Beej Dukan,kamal.sharma@agrevolution.in,Ambikapur,Chhattisgarh,755833,98290,0.06,62.70%,508537,13%,C,0.43,67%,-24%,0.76,93,35%,Yes,0.29,0.27,Opportunity
4282,1000004857,M/s R.N PESTICIDES,(blank),Barabanki,Uttar Pradesh,198516,33282,0.02,87.50%,160389,17%,C,0.56,81%,-33%,0.67,79,44%,0,0.28,0.27,Opportunity
4283,1000015929,M/s Agri Clinic Evam Krishak Paramarsh Kendra,shivam.rajput@agrevolution.in,Farrukhabad,Uttar Pradesh,1258617,84612,0.05,67.50%,518848,7%,D,0.22,41%,-5%,0.95,62,44%,0,0.37,0.27,Opportunity
4284,1000022707,Aakash krishi sewa kendra,kamal.sharma@agrevolution.in,Ambikapur,Chhattisgarh,486143,62555,0.04,75.90%,370050,13%,C,0.43,76%,-6%,0.94,69,28%,0,0.26,0.27,Opportunity
4285,1000026171,Hanuman Traders,vishvanath.kale@agrevolution.in,Sangli,Maharashtra,2124397,148564,0.09,48.20%,2124397,7%,D,0.23,100%,0%,1,48,13%,0,0.3,0.27,Opportunity
4286,1000016461,M/s.Shrikrupa Krishi Seva Kendra,mahesh.kohle@agrevolution.in,Jalna,Maharashtra,468366,27015,0.02,90.50%,174709,6%,D,0.19,37%,0%,1,74,46%,Yes,0.42,0.27,Opportunity
4287,1000006618,M/s Salam Khad Beej Bhandar,akash.hazra@agrevolution.in,Arariya,Bihar,162200,16679,0.01,94.80%,40771,10%,C,0.34,25%,0%,1,146,65%,Yes,0.33,0.27,Opportunity
4288,1000000118,Laxmi Khad Beej Bhandar,devendra.singh@agrevolution.in,Bhagalpur,Bihar,987457,45435,0.03,82.50%,268923,5%,D,0.15,27%,-7%,0.93,40,35%,0,0.45,0.27,Opportunity
4289,1000002342,Shri Ganesh Krishi Udyog,mewa.garhwal@agrevolution.in,Jaipur,Rajasthan,298045,25169,0.01,91.30%,103898,8%,D,0.28,35%,0%,1,56,34%,0,0.36,0.27,Opportunity
4290,1000008701,M/s Ashish Krishi Kendra,(blank),Bilaspur,Chhattisgarh,430203,74941,0.04,71.10%,404791,17%,C,0.58,94%,0%,1,116,21%,Yes,0.12,0.27,Opportunity
4291,1000031896,PRINSH RAJ ENTERPRISES,narendra.kumar4@agrevolution.in,Nawada,Bihar,309601,71356,0.04,72.60%,309601,23%,B,0.77,100%,0%,1,215,0%,0,-,0.27,Opportunity
4292,1000036958,M/s. Chetan Krushi Seva Kendra,vinod.pawar@agrevolution.in,CHHATRAPATI SAMBHAJINAGAR,Maharashtra,171139,40500,0.02,84.50%,171139,24%,B,0.79,100%,0%,1,156,2%,0,0.01,0.27,Opportunity
4293,1000040125,HARI SINGH KRISHI SEWA KENDRA,gaurav.singh5@agrevolution.in,Aligarh,Uttar Pradesh,206671,47093,0.03,81.90%,199206,23%,B,0.76,96%,-8%,0.92,84,3%,0,0.05,0.27,Opportunity
4294,1000024885,BALIRAJA AGRO SERVICES,mayur.suryavanshi@agrevolution.in,Nashik,Maharashtra,119686,27194,0.02,90.40%,119686,23%,B,0.76,100%,-16%,0.84,178,19%,0,0.09,0.27,Opportunity
4295,1000034498,MAURYA BEEJ BHANDAR,santlal.maurya@agrevolution.in,Sonbhadra,Uttar Pradesh,578807,120772,0.07,55.20%,397791,21%,B,0.7,69%,-2%,0.98,107,3%,0,0.02,0.27,Opportunity
4296,1000026419,MAA NARMDA PASHU AHAR,vivek.singh3@agrevolution.in,Bhopal,Madhya Pradesh,410269,42823,0.02,83.50%,410269,10%,C,0.35,100%,0%,1,65,32%,0,0.3,0.27,Opportunity
4297,1000024776,Sai Agro Services,umesh.shinde@agrevolution.in,Solapur,Maharashtra,299137,39439,0.02,84.90%,231818,13%,C,0.44,77%,0%,1,97,29%,Yes,0.24,0.27,Opportunity
4298,1000036367,DURVANKUR KRUSHI SEVA KENDRA,mayur.suryavanshi@agrevolution.in,Nashik,Maharashtra,724547,124105,0.07,54.40%,671460,17%,C,0.57,93%,-12%,0.88,106,26%,0,0.13,0.27,Opportunity
4299,1000005251,M/s Balaji Agro And Chemicals,(blank),Ratlam,Madhya Pradesh,575478,117555,0.07,56.20%,441246,20%,B,0.68,77%,0%,1,108,4%,0,0.02,0.27,Opportunity
4300,1000035094,Shri Shyam Krishi Sewa Kendra,rishikesh.jamodkar@agrevolution.in,Khandwa,Madhya Pradesh,802090,123708,0.07,54.50%,532036,15%,C,0.51,66%,-20%,0.8,172,39%,0,0.2,0.27,Opportunity
4301,1000032284,BHARAT TRADERS & KRASHI VIKAS KENDRA,sarvoday.gautam@agrevolution.in,Chhindwara,Madhya Pradesh,351306,43177,0.02,83.30%,306099,12%,C,0.41,87%,-16%,0.84,95,41%,Yes,0.31,0.27,Opportunity
4302,1000034024,M/S MA DURGA LAXMI JEE TREDERS,rajesh.patel@agrevolution.in,Saharsa,Bihar,706490,37891,0.02,85.50%,97298,5%,D,0.18,14%,0%,1,54,43%,0,0.42,0.27,Opportunity
4303,1000019285,M/S MAA KRISHI KENDRA,vijay.kumar1@agrevolution.in,Khagaria,Bihar,131851,23393,0.01,92.00%,108451,18%,C,0.59,82%,0%,1,114,25%,Yes,0.15,0.27,Opportunity
4304,1000008326,M/s Shree Mahakal Krishi Sewa Kendra,rahul.malviya@agrevolution.in,Shajapur,Madhya Pradesh,174805,32695,0.02,87.80%,162323,19%,C,0.62,93%,0%,1,114,20%,Yes,0.12,0.27,Opportunity
4305,1000024982,YASH AGRO SERVICES,abdul.munsif@agrevolution.in,Amravati,Maharashtra,2604601,314074,0.18,21.00%,1276216,12%,C,0.4,49%,-12%,0.88,159,19%,0,0.09,0.27,Opportunity
4306,1000024269,MAHAKAL CASH COUNTER,(blank),Ujjain,Madhya Pradesh,133123,32965,0.02,87.70%,128377,25%,B,0.83,96%,-16%,0.84,156,8%,Yes,0.04,0.27,Opportunity
4307,1000029591,Sainath Pashu Khadya,(blank),Jalna,Maharashtra,2783370,212647,0.12,34.30%,2783370,8%,D,0.25,100%,0%,1,52,4%,0,0.23,0.27,Opportunity
4308,1000008714,M/S One Stop Shop Agri Junction Krishi Kendra,akhilesh.maurya@agrevolution.in,Sonbhadra,Uttar Pradesh,515146,42524,0.02,83.60%,177977,8%,D,0.28,35%,-19%,0.81,49,36%,0,0.41,0.27,Opportunity
4309,1000002546,M/s Omkar Krushi Kendra,mahesh.kohle@agrevolution.in,Jalna,Maharashtra,170577,21023,0.01,93.00%,123000,12%,C,0.41,72%,0%,1,146,55%,Yes,0.27,0.27,Opportunity
4310,1000041492,Basudev enterprises,(blank),Hazaribagh,Jharkhand,188766,24827,0.01,91.50%,188766,13%,C,0.44,100%,0%,1,60,17%,0,0.25,0.27,Opportunity
4311,1000017101,Sidddhivinayak Krishi Sewa Kendra,mahendra.dubey@agrevolution.in,Bhopal,Madhya Pradesh,636622,102718,0.06,61.20%,363675,16%,C,0.54,57%,-5%,0.95,118,27%,Yes,0.14,0.27,Opportunity
4312,1000038689,SHIVJYOTI KRISHI PARAMARSH KENDRA,nilesh.nirgude@agrevolution.in,Khandwa,Madhya Pradesh,1464518,205704,0.12,35.70%,1261653,14%,C,0.47,86%,-18%,0.82,83,23%,0,0.15,0.27,Opportunity
4313,1000017414,MADDHESHIYA TRADERS,sanjay.upadhyay1@agrevolution.in,Gorakhpur,Uttar Pradesh,341436,60127,0.03,77.10%,190691,18%,C,0.59,56%,-13%,0.87,145,33%,Yes,0.17,0.27,Opportunity
4314,1000037426,kanha Enterprises,(blank),Sasaram,Bihar,664473,90236,0.05,65.50%,303696,14%,C,0.45,46%,0%,1,66,12%,0,0.19,0.27,Opportunity
4315,1000031039,Amit Traders,satyam.kumar@agrevolution.in,Samastipur,Bihar,400938,42128,0.02,83.80%,394833,11%,C,0.35,98%,0%,1,75,42%,0,0.3,0.27,Opportunity
